CourseID,Hole,POI,Location,SideOfFairway,Latitude,Longitude
241,1,Green,F,C,55.4289589,12.1759687
241,1,Green,C,C,55.4290305,12.1759982
241,1,Green,B,C,55.4291173,12.1760008
241,1,Tee Front,C,C,55.4279876,12.1761135
241,1,Tee Back,C,C,55.4278811,12.1761215
241,1,Green Bunker,F,R,55.4289012,12.1760574
241,1,Green Bunker,B,R,55.4290062,12.1761566
241,2,Green,F,C,55.4319246,12.1785382
241,2,Green,C,C,55.4320053,12.1786025
241,2,Green,B,C,55.4320967,12.1786347
241,2,Tee Front,C,C,55.4294014,12.1752399
241,2,Tee Back,C,C,55.4291532,12.1748913
241,2,Green Bunker,F,L,55.4319079,12.1783933
241,2,Green Bunker,B,L,55.4320312,12.1784362
241,2,Fairway Bunker,F,C,55.4309893,12.1774378
241,2,Fairway Bunker,B,C,55.4311644,12.1775853
241,2,Fairway Bunker,F,C,55.4301547,12.1768624
241,2,Fairway Bunker,B,C,55.4303055,12.1768866
241,2,100 Marker,C,C,55.4312809,12.1776692
241,2,150 Marker,C,C,55.4308713,12.1773232
241,2,200 Marker,C,C,55.4304451,12.1770372
241,3,Green,F,C,55.4319629,12.1772486
241,3,Green,C,C,55.4319203,12.1771199
241,3,Green,B,C,55.4318761,12.1769885
241,3,Tee Front,C,C,55.4323906,12.1781900
241,3,Tee Back,C,C,55.4324439,12.1783214
241,3,Water,F,L,55.4318670,12.1774230
241,3,Water,F,L,55.4318137,12.1769992
241,4,Green,F,C,55.4301748,12.1718435
241,4,Green,C,C,55.4301611,12.1716477
241,4,Green,B,C,55.4301596,12.1714520
241,4,Tee Front,C,C,55.4312100,12.1745887
241,4,Tee Back,C,C,55.4317123,12.1757177
241,4,Water,C,C,55.4311472,12.1744851
241,4,Fairway Bunker,F,L,55.4304668,12.1739459
241,4,Fairway Bunker,B,L,55.4303245,12.1736040
241,4,100 Marker,C,C,55.4304574,12.1731496
241,4,150 Marker,C,C,55.4307268,12.1738120
241,5,Green,F,C,55.4289428,12.1716884
241,5,Green,C,C,55.4288896,12.1716080
241,5,Green,B,C,55.4288287,12.1715275
241,5,Tee Front,C,C,55.4298225,12.1718287
241,5,Tee Back,C,C,55.4300631,12.1727593
241,5,Green Bunker,F,L,55.4288576,12.1718949
241,5,Green Bunker,B,L,55.4287130,12.1716267
241,6,Green,F,C,55.4304142,12.1747183
241,6,Green,C,C,55.4304340,12.1749194
241,6,Green,B,C,55.4304355,12.1751179
241,6,Tee Front,C,C,55.4292642,12.1726310
241,6,Tee Back,C,C,55.4288714,12.1723360
241,6,Fairway Bunker,F,L,55.4303153,12.1735969
241,6,Fairway Bunker,B,L,55.4304599,12.1739562
241,6,Fairway Bunker,F,R,55.4300397,12.1740689
241,6,Fairway Bunker,B,R,55.4301859,12.1741064
241,6,100 Marker,C,C,55.4300290,12.1735037
241,6,150 Marker,C,C,55.4295890,12.1730665
241,6,Water,F,R,55.4301333,12.1747572
241,6,Water,F,R,55.4305033,12.1751755
241,6,Water,B,R,55.4303206,12.1750334
241,7,Green,F,C,55.4314365,12.1762589
241,7,Green,C,C,55.4315096,12.1763528
241,7,Green,B,C,55.4315887,12.1764306
241,7,Tee Front,C,C,55.4308233,12.1752812
241,7,Tee Back,C,C,55.4307106,12.1750533
241,8,Green,F,C,55.4296534,12.1741627
241,8,Green,C,C,55.4296275,12.1740232
241,8,Green,B,C,55.4296062,12.1738838
241,8,Tee Front,C,C,55.4309844,12.1762827
241,8,Tee Back,C,C,55.4316496,12.1769505
241,8,Green Bunker,F,C,55.4296900,12.1744014
241,8,Green Bunker,B,C,55.4296930,12.1742861
241,8,Water,F,R,55.4306348,12.1754893
241,8,Water,B,R,55.4300189,12.1748518
241,9,Green,F,C,55.4284973,12.1748418
241,9,Green,C,C,55.4284060,12.1748552
241,9,Green,B,C,55.4283101,12.1748364
241,9,Tee Front,C,C,55.4291982,12.1746332
241,9,Tee Back,C,C,55.4293900,12.1745313
